VÉRTICE,LADO,DISTANCIA(m),ESTE(X),NORTE(Y)
P236,P236  -  P237,18.39,218922.8155,8269267.0709
P237,P237  -  P238,51.44,218939.5422,8269259.4228
P238,P238  -  P239,49.66,218990.8024,8269255.1703
P239,P239  -  P240,45.28,219029.6587,8269286.0979
P240,P240  -  P241,53.31,219034.8204,8269331.0781
P241,P241  -  P242,22.93,219032.6104,8269384.3464
P242,P242  -  P243,26.19,219043.6843,8269404.4221
P243,P243  -  P244,37.36,219051.7981,8269429.3267
P244,P244  -  P245,77.53,219076.8815,8269457.0107
P245,P245  -  P246,26.33,219121.1526,8269520.6569
P246,P246  -  P247,34.39,219131.4762,8269544.8817
P247,P247  -  P248,44.50,219156.5679,8269568.3966
P248,P248  -  P249,22.09,219198.6293,8269582.9236
P249,P249  -  P250,67.60,219216.2064,8269569.5441
P250,P250  -  P251,20.89,219222.9992,8269502.2859
P251,P251  -  P252,45.94,219232.7379,8269483.8043
P252,P252  -  P253,48.19,219191.1151,8269464.3513
P253,P253  -  P254,63.06,219153.8393,8269433.8134
P254,P254  -  P255,35.75,219094.1763,8269413.3824
P255,P255  -  P256,71.31,219073.7453,8269384.0399
P256,P256  -  P257,40.49,219106.6740,8269320.7907
P257,P257  -  P258,13.60,219109.0389,8269280.3683
P258,P258  -  P259,20.23,219122.6292,8269279.8795
P259,P259  -  P260,15.14,219141.0831,8269288.1777
P260,P260  -  P261,22.02,219155.8265,8269284.7185
P261,P261  -  P262,27.33,219171.8908,8269269.6556
P262,P262  -  P263,51.29,219180.8996,8269243.8482
P263,P263  -  P264,143.56,219171.6119,8269193.4085
P264,P264  -  P265,30.41,219106.5362,8269065.4472
P265,P265  -  P266,15.63,219136.2937,8269071.7189
P266,P266  -  P267,22.71,219151.7867,8269069.6254
P267,P267  -  P268,59.53,219173.5901,8269063.2656
P268,P268  -  P269,144.10,219223.5081,8269030.8238
P269,P269  -  P270,126.46,219327.8487,8269130.2080
P270,P270  -  P271,37.32,219443.1450,8269078.2642
P271,P271  -  P272,235.49,219479.4635,8269069.6763
P272,P272  -  P273,269.98,219462.1069,8268834.8275
P273,P273  -  P274,142.53,219510.9223,8268569.2956
P274,P274  -  P275,166.67,219444.7589,8268443.0530
P275,P275  -  P276,80.11,219430.6510,8268276.9792
P276,P276  -  P277,174.06,219393.5262,8268205.9946
P277,P277  -  P278,484.57,219243.8522,8268117.1413
P278,P278  -  P279,415.94,218914.3440,8267761.8531
P279,P279  -  P280,304.27,218499.1111,8267786.1313
P280,P280  -  P281,443.17,218287.1146,8267567.8775
P281,P281  -  P282,260.76,217844.8502,8267539.5946
P282,P282  -  P283,109.64,217633.1040,8267691.7716
P283,P283  -  P284,309.75,217529.7338,8267655.2291
P284,P284  -  P285,104.15,217266.9281,8267819.1697
P285,P285  -  P286,367.89,217225.6301,8267914.7809
P286,P286  -  P287,284.39,216880.2284,8268041.4282
P287,P287  -  P288,165.09,216655.4290,8268215.6250
P288,P288  -  P289,67.95,216493.7138,8268248.8174
